plotID;horizonID;date;authors;weather;landform;position;slope;landuse;vegetation;human_influence;parent_material;rock_cover;rock_frag_cover;surface_sealing;cracks;surface_characteristics;erosion_category;erosion_area;erosion_degree;erosion_activity;horizon_cap;horizon_suffix;horizon_top;horizon_bot;full_profile_depth;comments_notes;distinctness;horizon_topography;carbonates;class_rock_fragments;abun_rock_fragments;shape_rock_fragments;weathering_rock_fragments;nature_rock_fragments;class_artefacts;abundance_artefacts;shape_artefacts;weathering_artefacts;nature_artefacts;soil_colour_matrix;munsell_colour_wet;abundance_mottling;grade_aggregates;type_aggregates;size_aggregates;cons_wet_aggregates;stickiness_aggregates;plasticity_aggregates;type_voids;size_voids;abundance_voids;abundance_coatings;abundance_concretions;size_diameter_roots;abundance_roots;abundance_biol_act;biol_act;diagnostic_horizon;diagnostic_properties;diagnostic_materials;reference_soil_group;principal_qualifiers;editor;institute
UPL1;39;09.06.2018;Bukombe;SU;LL;CR;S;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;B;w;39;69;100;;C;W;N;;N;;;;;N;;;;;5YR 3/4;N;MO;AS;CO;FI;ST;PL;I;V;hard to quantify in the field;N;N;C;V;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL1;40;09.06.2018;Bukombe;SU;LL;CR;S;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;B;d;69;;100;;C;W;N;;N;;;;;N;;;;;5YR 3/4;N;MO;SB;CO;FR;ST;PL;I;V;hard to quantify in the field;N;N;M;F;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL7;41;10.06.2018;Reichenbach;PC;TV;MS;SC;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;A;h;0;12;100;;A;W;N;C;V;S-A;F-W;QU;;N;;;;dgr;5YR 2/1;N;WE;GR;FI-VC;VFR;SST;NPL;C;V;C;N;N;VF-C;F, F;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL7;42;10.06.2018;Reichenbach;PC;TV;MS;SC;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;AB;h, w;12;37;100;;C;W-I;N;C;F;S-A;F-W;QU;;N;;;;gr;5YR 4/3;N;WE;GR;FI-VC;VFR;SST;SPL;C;V;C;N;N;VF-C;V, F;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL7;43;10.06.2018;Reichenbach;PC;TV;MS;SC;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;B1;w;37;60;100;;G;S;N;C-S;C;S-A;F-W;QU, MI;;N;;;;slightly reddish br;5YR 4/4;N;MO;SB;VF-VC;VFR;SST;PL;C;V;V;N;N;F-C;V, V;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL7;44;10.06.2018;Reichenbach;PC;TV;MS;SC;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;N;;;;B2;w;60;;100;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;C;C;S-A;F-W;QU;;N;;;;slightly reddish br;5YR 4/4;N;MO;SB;VF-VC;VFR;SST;PL;C;V;V;N;N;F;V, V;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL5;45;09.06.2018;Kidinda;SU;SH;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;W;2;M;A;A;h;0;5;100;;A;S;N;;N;;;;;N;;;;;5YR 2/1;N;MO;GR;VM;FR;VST;PL;I, C;-, F;F;N;N;V-C;C, F;F;E, T;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL11;51;08.06.2018;Reichenbach;PC;LV;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;;;;;;;;;AB;h, w;33;60;110;;C;W;N;C;V;A + R;F;QU;M;V;;;charcoal;br;5YR 2/2;N;MO;SB;VF-VC;FR;SST;PL;C;V;V;N;N;VF-F;V;F;C;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL11;52;08.06.2018;Reichenbach;PC;LV;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;;;;;;;;;B;w;60;100;110;;A;S;N;;N;;;;;N;;;;br;5YR 3/3;N;MO;SB;VF-VC;FR;SST;SPL;C;V;F;N;N;VF-F;V;N;;ferralic;gleyic;;Ferralsol;;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL11;53;08.06.2018;Reichenbach;PC;LV;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;;;;;;;;;II C;r, o;100;;110;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;;;;;;;;;;;gr + br;5YR 4/2;C;;;;;;;I;V;hard to quantify in the field;;;;;;;ferralic;gleyic;;Ferralsol;;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL5;46;09.06.2018;Kidinda;SU;SH;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;W;2;M;A;AB;h, w;5;18;100;;G;S;N;F;V;S;F;QU;;N;;;;;5YR 2/2;N;MO;SB;FC;FR;ST;SPL;I, C;V;F;N;N;V-C;C, V;F;E;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL5;47;09.06.2018;Kidinda;SU;SH;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;W;2;M;A;B1;w;18;43;100;;D;W;N;;N;;;;;N;;;;;5YR 3/3;N;ST;SB;MC;FI;SST;SPL;I, B, V;V, M, F;F;N;N;F;C;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL5;48;09.06.2018;Kidinda;SU;SH;LS;CV;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;N;N;N;;W;2;M;A;B2;w;43;;100;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;;N;;;;;N;;;;;5YR 3/3;N;ST;SB;MC;FR;SST;SPL;I, V;V, M;C;N;N;F-M;C, F;N;;ferralic;;;Ferralsol;geric;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL11;49;08.06.2018;Reichenbach;PC;LV;LS;;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;;;;;;;;;A1;h;0;12;110;;A;W;N;;N;;;;;N;;;;swgr;5YR 1.7/1;N;MO;GR-SB;FI-VC;VFR;SST;SPL;C;V;V;N;N;VF-M;V;F;I;ferralic;gleyic;;Ferralsol;;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
UPL11;50;08.06.2018;Reichenbach;PC;LV;LS;;PN2;FE;VU, CL, 1932-1992 Forest Reserve/ Forestry with selective tree logging;MA;N;;;;;;;;;A2;h;12;33;110;;C;W;N;;N;;;;;N;;;;dgr;5YR 2/1;N;MO;GR-SB;FI-VC;VFR;SST;SPL;C;V;V;N;N;VF-C;V, F;F;I;ferralic;gleyic;;Ferralsol;;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
