plotID;treeID;sampling_date;Species;N;C;CN;Al;Ca;Fe;K;Mg;Mn;Na;P;Si
UPL12;3360;28.12.2018;Chryssophylum Albidum;2.816;49.032;17.410;215.080;11450.870;512.020;6766.600;3327.150;70.430;85.650;890.790;317.870
UPL12;3365;28.12.2018;Celtis Durandii;2.255;35.511;15.750;336.350;20630.410;366.570;7629.410;3444.110;114.800;312.190;870.090;2777.440
UPL12;3366;28.12.2018;Uvariopsis Congnesis;2.297;44.848;19.521;106.190;5427.140;210.490;21653.550;2423.440;39.820;51.200;2101.070;1558.740
UPL12;3370;28.12.2018;Banquetredendron Oblanceolatum;1.892;45.964;24.295;197.650;3369.670;329.410;11725.040;695.640;29.070;25.190;1098.680;434.050
UPL12;3372;28.12.2018;Chryssophylum Albidum;2.693;49.127;18.245;143.730;1687.870;229.190;6345.540;662.330;54.380;77.690;621.540;2134.600
UPL12;3373;28.12.2018;Aphania Senegalensis;2.029;43.556;21.463;129.220;20413.120;199.710;9116.010;5987.270;127.260;422.910;1319.630;497.310
UPL12;3376;28.12.2018;Funtumia Latifolia;1.838;47.823;26.021;153.850;2051.280;244.580;4404.340;1218.930;311.640;27.610;934.910;457.590
UPL12;3377;28.12.2018;Banquetredendron Oblanceolatum;1.741;46.444;26.678;142.960;8581.220;178.200;9229.410;1627.340;45.040;72.460;941.940;252.620
UPL12;3378;28.12.2018;Chryssophylum Albidum;3.153;49.876;15.820;126.240;9775.310;171.460;11163.970;3029.820;88.560;105.520;1627.960;770.640
UPL12;3390;28.12.2018;Banquetredendron Oblanceolatum;1.719;46.545;27.081;190.820;10752.230;226.980;4782.570;1538.620;120.520;118.510;1088.680;315.360
UPL12;3393;28.12.2018;Tabernaemontana Holistii;2.435;63.452;26.060;227.970;11092.600;101.320;15681.230;6289.640;1046.320;13.640;1449.660;249.400
UPL12;3395;28.12.2018;Funtumia Latifolia;2.240;48.180;21.508;44.550;8705.510;114.290;26540.750;2235.460;19.370;114.290;2053.370;627.630
UPL3;3399;28.12.2018;Cheatachme Aristata;2.801;38.155;13.620;112.950;17035.570;194.190;23984.940;3717.430;59.450;338.850;1365.300;970.970
UPL3;3413;28.12.2018;Harrisonia Abyssinica;1.975;45.772;23.172;254.520;18080.440;613.950;14219.930;1847.680;71.890;120.460;1573.730;880.120
UPL3;3425;28.12.2018;Ficus Brachypus;2.093;41.909;20.021;229.040;10207.570;536.340;7938.160;1349.430;72.530;62.990;1254.000;313.020
UPL3;3429;28.12.2018;Banquetredendron Oblanceolatum;2.077;46.046;22.172;155.840;9929.300;240.490;17053.530;1950.840;515.610;38.480;1381.370;871.530
UPL7;3488;28.12.2018;Diospyros Abyssinica;2.641;47.582;18.019;309.830;13311.110;458.870;15662.320;1194.230;119.620;178.450;1341.310;1466.810
UPL7;3489;28.12.2018;Pterygota Mildbraedii;2.464;47.315;19.202;146.130;16635.170;216.270;12190.940;2123.720;245.490;101.320;1188.500;535.800
UPL7;3490;28.12.2018;Teclea Nobilis;2.014;40.575;20.143;180.410;26339.480;219.200;11452.960;3103.780;102.810;100.870;1039.770;1119.300
UPL7;3491;28.12.2018;Diospyros Abyssinica;2.976;48.274;16.220;134.060;1462.790;185.310;5056.680;934.450;238.540;11.830;1228.190;818.140
UPL7;3493;28.12.2018;Diospyros Abyssinica;2.190;49.032;22.389;128.030;23265.710;155.600;11126.650;4561.750;466.810;189.090;1077.410;490.450
UPL7;3497;28.12.2018;Cheatachme Aristata;2.205;56.794;25.752;107.320;5912.200;146.340;15705.370;2675.120;130.730;44.880;1092.680;495.610
UPL7;3501;28.12.2018;Diospyros Abyssinica;2.978;47.818;16.057;145.610;10721.590;229.390;12891.840;2710.820;999.350;89.760;1599.760;552.540
UPL7;3502;28.12.2018;Strombosia Scheffleri;3.128;43.448;13.890;107.350;13031.160;268.380;20810.100;4884.450;495.010;101.390;2361.710;272.350
UPL7;3503;28.12.2018;Diospyros Abyssinica;2.674;47.466;17.750;356.380;7368.630;417.130;17519.490;3575.980;277.410;93.150;1018.530;573.050
UPL7;3522;28.12.2018;Chryssophylum Albidum;2.841;45.955;16.175;76.150;6211.000;139.300;6770.060;2210.250;365.900;22.290;1071.690;579.490
UPL7;3550;28.12.2018;Uvariopsis Congnesis;3.528;43.825;12.422;68.310;9410.350;182.820;20080.360;3320.940;385.740;66.300;1552.990;1557.010
UPL7;3551;28.12.2018;Monodora Angolensis;3.204;44.532;13.899;108.890;14137.790;164.320;26600.670;3741.830;122.750;79.190;3143.930;465.250
UPL7;3552;28.12.2018;Drypetes Ugendensis;2.591;41.645;16.075;54.440;5191.790;211.700;20888.150;2808.610;66.540;44.360;2072.690;1399.260
UPL8;3588;28.12.2018;Diospyros Abyssinica;2.862;47.186;16.489;107.300;13661.720;224.350;14473.270;4024.580;981.270;64.380;1229.030;468.200
UPL8;3589;28.12.2018;Teclea Nobilis;2.602;41.962;16.129;193.420;6910.790;223.640;10785.270;2977.890;112.830;70.520;1023.520;481.540
UPL8;3597;28.12.2018;Uvariopsis Congnesis;3.671;43.213;11.772;156.290;7023.200;214.900;17707.450;2832.720;132.840;76.190;1238.580;695.480
UPL8;3605;28.12.2018;Pterygota Mildbraedii;2.773;45.821;16.522;94.870;17261.950;129.180;15925.720;2240.500;756.930;125.150;1483.570;322.960
UPL8;3606;28.12.2018;Teclea Nobilis;2.825;42.262;14.960;129.500;21674.340;196.270;13811.520;2254.030;596.890;58.680;1129.040;1244.370
UPL8;3611;28.12.2018;Tabernaemontana Holistii;2.595;62.347;24.029;151.570;7991.170;249.420;12099.000;2657.330;141.980;234.080;1481.200;894.090
UPL8;3613;28.12.2018;Uvariopsis Congnesis;3.182;42.321;13.299;59.030;11745.770;129.490;16375.150;4248.510;89.500;55.220;1447.270;1725.300
UPL8;3614;28.12.2018;Monodora Angolensis;2.695;41.138;15.263;86.260;2938.640;129.390;7106.450;888.060;562.630;11.760;1033.130;511.660
UPL8;3640;28.12.2018;Chryssophylum Albidum;3.127;48.781;15.600;184.440;4450.930;259.720;4785.920;1641.100;715.160;18.820;948.530;784.790
UPL8;3642;28.12.2018;Uvariopsis Congnesis;3.689;43.726;11.853;106.420;10537.930;141.250;11455.110;2403.250;654.020;48.370;1164.860;239.940
