plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL2;strong_dry;4;0.0000;0.0340;0.6790;0.2820;0.2950;0.0000;0.3600;0.0910;0.1790;0.0000;0.1570;0.0390;0.0790;0.0000;0.0000;0.0000;0.0000;4
KBPL2;strong_dry;O;1.7500;11.5850;35.5390;22.2380;10.3480;0.0000;0.9090;0.5590;0.4090;0.0000;39.2030;10.4890;19.1860;0.0000;0.0000;0.0000;0.0000;4
KBPL3;strong_dry;1;0.0000;0.5950;2.2980;1.3200;0.7180;0.0110;0.2090;0.1040;0.0820;0.0000;4.5480;1.5100;2.0570;0.0000;0.0000;0.0000;0.0000;4
KBPL3;strong_dry;2;0.0000;0.7520;5.4820;2.0660;2.2820;0.0000;0.3310;0.1170;0.1560;0.0000;6.2260;2.5870;3.0530;0.0000;0.0000;0.0000;0.0000;4
KBPL3;strong_dry;3;0.0000;0.2750;0.8260;0.5640;0.2890;0.0000;0.2200;0.0640;0.1050;0.0000;0.8820;0.3890;0.4570;0.0000;0.0000;0.0000;0.0000;4
KBPL3;strong_dry;4;0.0000;0.0060;0.3260;0.1070;0.1500;0.0000;0.0040;0.0010;0.0020;0.0000;2.6270;0.6570;1.3130;0.0000;0.0000;0.0000;0.0000;4
KBPL3;strong_dry;O;3.0000;3.7470;11.9380;7.4610;3.6940;0.0000;0.8260;0.2360;0.3970;0.0000;4.3670;1.0920;2.1830;0.0000;0.0000;0.0000;0.0000;4
KBPL4;strong_dry;1;0.0000;0.1160;0.9090;0.4850;0.3790;0.0000;0.6060;0.2470;0.2640;0.0000;0.3030;0.0760;0.1520;0.0000;0.2480;0.0620;0.0000;4
KBPL4;strong_dry;2;0.0000;0.5810;1.5430;0.9580;0.4580;0.0000;0.0280;0.0070;0.0140;0.2340;3.0520;1.1940;1.2820;0.0000;0.0000;0.0000;0.0000;4
KBPL4;strong_dry;3;0.0000;0.0830;0.5230;0.3770;0.2000;0.0170;0.6030;0.2400;0.2750;0.0000;0.9370;0.4410;0.5110;0.0000;1.4240;0.3560;1.0000;4
KBPL4;strong_dry;O;3.0000;2.0200;4.1320;2.9640;0.9000;0.0000;1.9280;0.6660;0.9100;0.0000;0.4680;0.1170;0.2340;0.0000;0.0000;0.0000;0.0000;4
KBPL4;weak_rain;1;0.0000;0.1710;1.0080;0.7390;0.3880;0.0000;0.0550;0.0140;0.0280;0.0000;5.4470;1.8480;2.4890;0.0000;0.0000;0.0000;0.0000;4
KBPL4;weak_rain;2;0.0000;0.1960;1.1740;0.5450;0.4340;0.0000;0.0910;0.0230;0.0450;0.0000;9.2400;2.7380;4.4090;0.0000;0.0000;0.0000;0.0000;4
KBPL4;weak_rain;3;0.0000;0.0000;0.3250;0.1900;0.1370;0.0000;0.0000;0.0000;0.0000;0.2780;7.7660;2.3670;3.6130;0.0000;0.0000;0.0000;0.0000;4
KBPL4;weak_rain;4;0.0000;0.0550;0.4890;0.2270;0.1850;0.0000;0.0260;0.0100;0.0130;0.0000;4.2410;1.2200;2.0200;0.0000;0.0000;0.0000;0.0000;4
KBPL4;weak_rain;O;2.7500;4.6560;8.0890;6.3660;1.6350;0.0000;2.7630;0.9280;1.3020;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
KBPL5;strong_dry;1;0.0000;0.3030;0.6610;0.4330;0.1580;0.0550;0.1410;0.0980;0.0360;0.4960;8.2920;3.2670;3.4610;0.0000;0.0000;0.0000;0.0000;4
KBPL5;strong_dry;2;0.0000;0.0000;1.2950;0.5160;0.5610;0.0000;0.0000;0.0000;0.0000;0.0000;67.3580;17.5490;33.2330;0.0000;0.0000;0.0000;0.0000;4
