plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
NPL4;C;24.06.2019;1;3;0;0;0.05;0;0;0;0.138;0;0;;98
NPL5;B;10.09.2018;1;3;0;0;0.13;0;0;0;0.358;0;0;;0
NPL11;D;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
UPL9;D;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
UPL7;C;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL4;B;25.09.2019;1;3;0;0;0;0;0;0;0;0;0;;90
UPL12;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL11;B;20.12.2019;1;3;0;0;0;0.638;0.222;0;0;1.758;0.612;;85
NPL4;B;16.03.2019;1;3;0;0;0;0;0;0;0;0;0;;95
NPL4;B;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL10;A;20.12.2019;1;4;0;0;0.042;0;0.602;0;0.058;0;0.829;;85
NPL6;A;20.12.2019;1;2;0;0;0;0.356;0;0;0;0.981;0;;85
UPL10;B;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL12;C;10.09.2018;1;1;0;0;0.285;0;0.159;0;0.785;0;0.438;;0
NPL10;B;24.06.2019;1;2;0;0;0;1.793;0;0;0;4.94;0;;98
NPL12;D;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
NPL10;B;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL6;B;25.09.2019;1;4;0;0;0;0;0;0;0;0;0;;90
NPL11;C;24.06.2019;1;1;0;0;0;0.132;0.139;0;0;0.364;0.383;;98
NPL11;A;16.03.2019;1;3;0;0;0;0;0;0;0;0;0;;95
NPL3;C;10.09.2018;1;2;0;0;0.14;0;0.33;0;0.386;0;0.909;;0
NPL10;C;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
NPL4;D;16.03.2019;1;4;0;0;0.015;0;0.25;0;0.021;0;0.344;;95
NPL10;B;10.09.2018;1;4;0;0;0.029;0;0.19;0;0.04;0;0.262;;0
UPL4;B;10.07.2019;1;4;0;0;0;0;0;0;0;0;0;;108
NPL11;B;11.12.2018;1;2;0;0;0.005;0.483;0;0;0.014;1.331;0;;90
UPL3;D;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL10;B;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL11;A;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL12;A;10.09.2018;1;2;0;0;0.25;0;0;0;0.689;0;0;;0
NPL10;C;25.09.2019;1;3;0;0;0;0;0;0;0;0;0;;90
NPL12;B;24.06.2019;1;3;0;0;0;0;0;0;0;0;0;;98
NPL12;D;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL7;C;11.12.2018;1;1;0;0;0;0;0.204;0;0;0;0.562;;90
NPL10;B;20.12.2019;1;3;0;0;0;0.203;0;0;0;0.559;0;;85
NPL11;D;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL12;A;11.12.2018;1;2;0;0;0;3.99;0;0;0;10.992;0;;90
NPL2;C;11.12.2018;1;4;0;0;0;0;0;0;0;0;0;;90
NPL12;A;24.06.2019;1;3;0;0;0;0.348;0;0;0;0.959;0;;98
NPL9;C;24.06.2019;1;1;0;0;0;0.19;0;0;0;0.523;0;;98
KBPL11;D;18.09.2019;1;4;0;0;0;0;0;0;0;0;0;;94
